acordao,ementa,relator,comarca,orgao_julgador,data_julgamento,data_publicacao,outros_numeros
1001064-07.2022.8.26.0180,"DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. PRETENSÃO DE AFASTAMENTO DO REDUTOR SALARIAL, INSTITUÍDO PELA EMENDA CONSTITUCIONAL Nº 41/03. POSSIBILIDADE. CUMULAÇÃO LEGÍTIMA DE CARGOS OU FUNÇÕES. HIPÓTESE DE CUMULAÇÃO CONSTITUCIONAL. REDUTOR QUE DEVE INCIDIR DE FORMA ISOLADA NAS REMUNERAÇÕES RELATIVAS AO CARGO E FUNÇÃO ACUMULADOS.
											 	




DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. PRETENSÃO DE AFASTAMENTO DO REDUTOR SALARIAL, INSTITUÍDO PELA EMENDA CONSTITUCIONAL Nº 41/03. POSSIBILIDADE. CUMULAÇÃO LEGÍTIMA DE CARGOS OU FUNÇÕES. HIPÓTESE DE CUMULAÇÃO CONSTITUCIONAL. REDUTOR QUE DEVE INCIDIR DE FORMA ISOLADA NAS REMUNERAÇÕES RELATIVAS AO CARGO E FUNÇÃO ACUMULADOS. VEDAÇÃO DE ENRIQUECIMENTO SEM CAUSA AO PODER PÚBLICO. DEVOLUÇÃO DE VALORES DESCONTADOS INDEVIDAMENTE, RESPEITADA A PRESCRIÇÃO QUINQUENAL. SENTENÇA MANTIDA. RECURSO DESPROVIDO.",Christian Robinson Teixeira,Espírito Santo do Pinhal,Turma Recursal Cível e Criminal,14/02/2023,14/02/2023,
0100551-82.2022.8.26.9001,"decisão em agravo de instrumento que não é teratológica – pretensão de reconhecimento de desrespeito ao teto constitucional que no Estado de São Paulo para os funcionários da administração estadual do Poder Executivo estaria limitado ao teto do Senhor Governador de Estado – Decisão de antecipação de tutela em que há entendimento de que a verba recebida pelo autor da demanda
											 	




decisão em agravo de instrumento que não é teratológica – pretensão de reconhecimento de desrespeito ao teto constitucional que no Estado de São Paulo para os funcionários da administração estadual do Poder Executivo estaria limitado ao teto do Senhor Governador de Estado – Decisão de antecipação de tutela em que há entendimento de que a verba recebida pelo autor da demanda Delegado de Polícia (GAT – Gratificação por acumulo de Titularidade) seria indenizatória e fora do limite do teto.  Decisão do E. Magistrado não é teratológica.  Decisão que aparentemente respeita não o teto do Governador mas dos Ministros do STF.  JUIZADO ESPECIAL CÍVEL - AGRAVO DE INSTRUMENTO NÃO ATENDIMENTO DOS REQUISITOS PREVISTOS NO ARTIGO 1.017, DO CPC - INAPLICABILIDADE NO SISTEMA DO JUIZADO DO PARÁGRAFO 3º, 5º DO MESMO ARTIGO BEM COMO ARTIGO 932, PARAGRAFO ÚNICO DO CPC – ADEMAIS NÃO HOUVE ANÁLISE DA GRATUIDADE REQUERIDA ANTE A NÃO APRESENTAÇÃO DOS DOCUMENTOS FISCAIS REQUERIDOS - RECURSO NÃO CONHECIDO.",Wilson Julio Zanluqui,Santos,2ª Turma Cível - Santos,10/02/2023,10/02/2023,
1008876-67.2022.8.26.0482,"Agravo Interno. Decisão que negou seguimento a recurso extraordinário. Exclusão de verba do teto remuneratório do funcionalismo público previsto no artigo 37, inciso XI, da Constituição Federal. Temas paradigmas invocados para denegação (Temas nº 377 e 384) que versaram matéria diversa. Possível violação ao dispositivo constitucional. Agravo provido.",Vinicius Peretti Giongo,Presidente Prudente,4ª Turma Cível,10/02/2023,10/02/2023,
1004891-38.2022.8.26.0564,"Teto remuneratório – Impossibilidade de soma do montante recebido a título de Gratificação por Acúmulo de Titularidade-GAT para este fim, sob pena de enriquecimento ilícito da Administração – Caráter indenizatório da verba, a afastar a aplicação do limitador – Tese fixada no julgamento do Tema 377 pelo STF que, de qualquer modo, estabelece, para fins de aplicação do
											 	




Teto remuneratório – Impossibilidade de soma do montante recebido a título de Gratificação por Acúmulo de Titularidade-GAT para este fim, sob pena de enriquecimento ilícito da Administração – Caráter indenizatório da verba, a afastar a aplicação do limitador – Tese fixada no julgamento do Tema 377 pelo STF que, de qualquer modo, estabelece, para fins de aplicação do teto, sejam consideradas individualmente as remunerações recebidas em cada cargo para as hipóteses em que autorizada a cumulação, sem possibilidade de soma – Precedentes – Valor da condenação que deve ser aferido em sede de cumprimento de sentença – Recurso desprovido.",Marcelo Franzin Paulo,São Caetano do Sul,2ª Turma Recursal - Fazenda Pública,09/02/2023,09/02/2023,
1045431-80.2020.8.26.0053,Embargos de declaração. Acórdão proferido no julgamento de recurso inominado. Alegação de omissão. Argumentação da embargante sem pertinência lógica com os fatos decididos no v. acórdão embargado. Caráter infringente. Embargos rejeitados.,Márcia Helena Bosch,São Paulo,3ª Turma - Fazenda Pública,08/02/2023,08/02/2023,
1064034-36.2022.8.26.0053,"RECURSO INOMINADO - SERVIDOR PÚBLICO –   DELEGADO DA POLÍCIA CIVIL - GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT) - PRETENSÃO DE NÃO INCIDÊNCIA DE IMPOSTO DE RENDA. O Imposto de Renda não incide sobre verbas de caráter indenizatório, como A Gratificação por Acúmulo de Titularidade (GAT) que não se incorpora ao salário, sequer compondo a base de cálculo previdenciária, e não
											 	




RECURSO INOMINADO - SERVIDOR PÚBLICO –   DELEGADO DA POLÍCIA CIVIL - GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT) - PRETENSÃO DE NÃO INCIDÊNCIA DE IMPOSTO DE RENDA. O Imposto de Renda não incide sobre verbas de caráter indenizatório, como A Gratificação por Acúmulo de Titularidade (GAT) que não se incorpora ao salário, sequer compondo a base de cálculo previdenciária, e não representa acréscimo patrimonial. Sentença de procedência mantida. Recurso não provido",PATRÍCIA MARTINS CONCEIÇÃO,São Paulo,7ª Turma - Fazenda Pública,08/02/2023,08/02/2023,
1002522-59.2022.8.26.0568,"DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. PRETENSÃO DE AFASTAMENTO DO REDUTOR SALARIAL, INSTITUÍDO PELA EMENDA CONSTITUCIONAL Nº 41/03. POSSIBILIDADE. CUMULAÇÃO LEGÍTIMA DE CARGOS OU FUNÇÕES. HIPÓTESE DE CUMULAÇÃO CONSTITUCIONAL. REDUTOR QUE DEVE INCIDIR DE FORMA ISOLADA NAS REMUNERAÇÕES RELATIVAS AO CARGO E FUNÇÃO ACUMULADOS.
											 	




DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. PRETENSÃO DE AFASTAMENTO DO REDUTOR SALARIAL, INSTITUÍDO PELA EMENDA CONSTITUCIONAL Nº 41/03. POSSIBILIDADE. CUMULAÇÃO LEGÍTIMA DE CARGOS OU FUNÇÕES. HIPÓTESE DE CUMULAÇÃO CONSTITUCIONAL. REDUTOR QUE DEVE INCIDIR DE FORMA ISOLADA NAS REMUNERAÇÕES RELATIVAS AO CARGO E FUNÇÃO ACUMULADOS. VEDAÇÃO DE ENRIQUECIMENTO SEM CAUSA AO PODER PÚBLICO. DEVOLUÇÃO DE VALORES DESCONTADOS INDEVIDAMENTE, RESPEITADA A PRESCRIÇÃO QUINQUENAL. JUROS E CORREÇÃO MONETÁRIA. SENTENÇA MANTIDA. RECURSO DESPROVIDO.",André Acayaba de Rezende,São João da Boa Vista,Turma Recursal Cível e Criminal,08/02/2023,08/02/2023,
1071509-77.2021.8.26.0053,"Agravo Interno contra despacho denegatório de Recurso Extraordinário - Decisão do Presidente do Colégio Recursal aplicando tese fixada em repercussão geral – Tema 377 e 384 STF - Delegado de Polícia - Gratificação por Acúmulo de Titularidade (GAT) - Reconhecimento da natureza indenizatória Observância do teto remuneratório afastada -  Ausência de condições de admissibilidade -
											 	




Agravo Interno contra despacho denegatório de Recurso Extraordinário - Decisão do Presidente do Colégio Recursal aplicando tese fixada em repercussão geral – Tema 377 e 384 STF - Delegado de Polícia - Gratificação por Acúmulo de Titularidade (GAT) - Reconhecimento da natureza indenizatória Observância do teto remuneratório afastada -  Ausência de condições de admissibilidade - Inteligência do art. 1.030, I, ""a"", do Código de Processo Civil - Decisão mantida - Recurso desprovido.",Paula Fernanda de Souza Vasconcelos Navarro,São Paulo,5ª Turma - Fazenda Pública,07/02/2023,07/02/2023,
1043010-49.2022.8.26.0053,"Agravo Interno contra despacho denegatório de Recurso Extraordinário - Decisão do Presidente do Colégio Recursal aplicando tese fixada em repercussão geral – Tema 377 e 384 STF - Delegado de Polícia - Gratificação por Acúmulo de Titularidade (GAT) - Reconhecimento da natureza indenizatória Observância do teto remuneratório afastada -  Ausência de condições de admissibilidade -
											 	




Agravo Interno contra despacho denegatório de Recurso Extraordinário - Decisão do Presidente do Colégio Recursal aplicando tese fixada em repercussão geral – Tema 377 e 384 STF - Delegado de Polícia - Gratificação por Acúmulo de Titularidade (GAT) - Reconhecimento da natureza indenizatória Observância do teto remuneratório afastada -  Ausência de condições de admissibilidade - Inteligência do art. 1.030, I, ""a"", do Código de Processo Civil - Decisão mantida - Recurso desprovido.",Paula Fernanda de Souza Vasconcelos Navarro,São Paulo,5ª Turma - Fazenda Pública,07/02/2023,07/02/2023,
1015702-38.2022.8.26.0053,"SERVIDOR PÚBLICO. TETO REMUNERATÓRIO. GRATIFICAÇÃO POR ACUMULAÇÃO DE TITULARIDADE. EXERCÍCIO DE CARGO DE DELEGADO DE POLÍCIA CUMULADO COM AS FUNÇÕES DE OUTRO CARGO IDÊNTICO, COM PREVISÃO NA LEGISLAÇÃO PAULISTA.

-	O exercício pelo impetrante -titular de apenas um cargo público- de funções correspondentes a dois cargos de Delegado de Polícia deu-se em benefício do Estado e da
											 	





	SERVIDOR PÚBLICO. TETO REMUNERATÓRIO. GRATIFICAÇÃO POR ACUMULAÇÃO DE TITULARIDADE. EXERCÍCIO DE CARGO DE DELEGADO DE POLÍCIA CUMULADO COM AS FUNÇÕES DE OUTRO CARGO IDÊNTICO, COM PREVISÃO NA LEGISLAÇÃO PAULISTA.

-	O exercício pelo impetrante -titular de apenas um cargo público- de funções correspondentes a dois cargos de Delegado de Polícia deu-se em benefício do Estado e da coletividade, e com amparo na legislação paulista, atendendo, portanto, ao interesse público. 
	
-	Nesse quadro, a aplicação do teto remuneratório considerando o valor total percebido pelo requerente -e não isoladamente quanto a cada uma das funções- implica enriquecimento sem causa da Administração bandeirante, que se aproveitaria do trabalho do impetrante sem a remuneração correspondente, situação que afronta as normas constitucionais, conforme decidido pelo STF no RE 612.975. 

-	Incidência, na espécie, do decidido pelo STF no julgamento do RE 612.975, em regime de repercussão geral.

	Não provimento da apelação.",Ricardo Dip,São Paulo,11ª Câmara de Direito Público,06/02/2023,06/02/2023,
1032762-24.2022.8.26.0053,"""Agravo Interno – Insistência da Fazenda na subida do Recurso Extraordinário – Descabimento – Aplicação do entendimento fixado em definitivo pelo STF no tema 377 de repercussão geral - Delegado de polícia – Teto remuneratório - Exclusão da GAT - gratificação por acúmulo de titularidade - do cômputo total das verbas que compõem seus vencimentos, para fins de incidência do redutor
											 	




""Agravo Interno – Insistência da Fazenda na subida do Recurso Extraordinário – Descabimento – Aplicação do entendimento fixado em definitivo pelo STF no tema 377 de repercussão geral - Delegado de polícia – Teto remuneratório - Exclusão da GAT - gratificação por acúmulo de titularidade - do cômputo total das verbas que compõem seus vencimentos, para fins de incidência do redutor salarial – EC 41/03  - Constituição Federal que autoriza a cumulação de cargos nesse caso, devendo o teto constitucional incidir individualmente para cada uma das remunerações, e não cumulativamente – Decisão da presidência mantida. Recurso desprovido"".",Carlos Eduardo Borges Fantacini,São Paulo,4ª Turma - Fazenda Pública,06/02/2023,06/02/2023,
1009232-40.2022.8.26.0554,"Agravo interno. Negativa de seguimento a recurso extraordinário. Incidência da regra do artigo 1.030, inciso I, do Código de Processo Civil. Cômputo da Gratificação por Acúmulo de Titularidade (GAT) para fins de teto remuneratório que, realmente, não foi examinado pelo Supremo Tribunal Federal com repercussão geral. Inaplicabilidade direta dos Temas 377 e 384. Ausência, porém,
											 	




Agravo interno. Negativa de seguimento a recurso extraordinário. Incidência da regra do artigo 1.030, inciso I, do Código de Processo Civil. Cômputo da Gratificação por Acúmulo de Titularidade (GAT) para fins de teto remuneratório que, realmente, não foi examinado pelo Supremo Tribunal Federal com repercussão geral. Inaplicabilidade direta dos Temas 377 e 384. Ausência, porém, de indicação do prequestionamento da matéria constitucional envolvida ou de indicação detalhada da relevância da questão posta no âmbito dos Juizados Especiais (Temas 797, 798 e 800). Questão que depende da análise da legislação local. Decisão mantida por outro fundamento. Recurso desprovido.",Alexandre Moron de Almeida,Santo André,1ª Turma Recursal - Fazenda Pública,06/02/2023,06/02/2023,
1034597-47.2022.8.26.0053,"APELAÇÃO E REMESSA NECESSÁRIA –  MANDADO DE SEGURANÇA –  DELEGADO DE POLÍCIA –  GAT - Pretensão do autor de que seus rendimentos ordinários como Delegado de Polícia e a sua Gratificação por Acúmulo de Titularidade –  GAT (Lei Complementar Estadual nº 1.020/2007) - sejam consideradas isoladamente para efeitos de aplicação do teto remuneratório - Concessão da segurança
											 	




APELAÇÃO E REMESSA NECESSÁRIA –  MANDADO DE SEGURANÇA –  DELEGADO DE POLÍCIA –  GAT - Pretensão do autor de que seus rendimentos ordinários como Delegado de Polícia e a sua Gratificação por Acúmulo de Titularidade –  GAT (Lei Complementar Estadual nº 1.020/2007) - sejam consideradas isoladamente para efeitos de aplicação do teto remuneratório - Concessão da segurança decretada em primeira instância –  Irresignação –  Descabimento -  Aplicação da tese firmada no julgamento dos Temas 377 e 384 de Repercussão Geral do E. Supremo Tribunal - Redutor que deve incidir de forma isolada nas remunerações do cargo e da função cumuladas, sob pena de enriquecimento sem causa da Administração Pública -  Sentença mantida – Recurso voluntário improvido e remessa necessária desacolhida.",Rubens Rihl,São Paulo,1ª Câmara de Direito Público,03/02/2023,03/02/2023,
0014469-90.2020.8.26.0506,"Apelação. Latrocínio tentado, explosão, incêndio e organização criminosa. Recurso ministerial e da defesa. Preliminares. Inépcia da denúncia. Inexistência. Preliminar rejeitada. Mérito. Latrocínio tentado. Prova segura. Participação do réu comprovada pela prova oral colhida e relatórios das investigações. Desclassificação para roubo simples. Impossibilidade, pois demonstrado o animus necandi dos
											 	




Apelação. Latrocínio tentado, explosão, incêndio e organização criminosa. Recurso ministerial e da defesa. Preliminares. Inépcia da denúncia. Inexistência. Preliminar rejeitada. Mérito. Latrocínio tentado. Prova segura. Participação do réu comprovada pela prova oral colhida e relatórios das investigações. Desclassificação para roubo simples. Impossibilidade, pois demonstrado o animus necandi dos agentes. Condenação mantida. Crime de incêndio. Crime de perigo concreto. Não comprovação do perigo pela perícia. Crime de explosão. Mantida absolvição. Utilização de explosivos para acessar o cofre da empresa-vítima. Meio necessário, uma vez que os agentes visavam à subtração dos valores ali existentes. Crime de organização criminosa (artigo 2º, caput, da Lei nº 12.850/2013). Prova insuficiente. Inexistência de demonstração da estabilidade e permanência do grupo.
Dosimetria. Pena-base fixada no máximo legal devidamente fundamentada. Reincidência. Exasperação na fração de 1/6. Observância ao limite máximo previsto no tipo penal. Impossibilidade de reconhecimento de concurso material ou formal impróprio entre os delitos. Crime complexo, cujo viés patrimonial norteia a aplicação de eventual concurso de crimes. Único patrimônio visado. Tentativa. Redução na fração mínima, tendo em vista o iter criminis percorrido, mormente em razão de terem sido efetuados diversos disparos com armamentos de grosso calibre. Recursos improvidos.",Luiz Fernando Vaggione,Ribeirão Preto,2ª Câmara de Direito Criminal,03/02/2023,03/02/2023,
1507244-13.2018.8.26.0506,"Apelação. Latrocínio tentado, explosão, incêndio, receptação dolosa, organização criminosa, posse irregular de munição de uso permitido, posse ilegal de arma de fogo de uso restrito e posse ilegal de explosivo. Recurso ministerial e das defesas. Preliminares. Ausência de fundamentação ou cerceamento de defesa. Inocorrência. Inépcia da inicial. Denúncia que descreve pormenorizadamente a ação dos
											 	




Apelação. Latrocínio tentado, explosão, incêndio, receptação dolosa, organização criminosa, posse irregular de munição de uso permitido, posse ilegal de arma de fogo de uso restrito e posse ilegal de explosivo. Recurso ministerial e das defesas. Preliminares. Ausência de fundamentação ou cerceamento de defesa. Inocorrência. Inépcia da inicial. Denúncia que descreve pormenorizadamente a ação dos acusados. Inexistência. Violação de domicílio. Inocorrência. Flagrante preparado. Análise no mérito. Preliminares rejeitadas. Mérito. Latrocínio tentado. Prova segura. Participação dos réus comprovada pela prova oral colhida, relatórios das investigações e degravações das interceptações telefônicas. Flagrante preparado. Inocorrência. Condenações mantidas. Receptação dolosa. Caracterizada. Dolo comprovado. Condenações mantidas. Delitos das Lei de Armas. Comprovados apenas quanto aos réus D. G. e M. H.. Impossibilidade de atribuição de responsabilidade criminal quanto ao réu D.. Crime único. Impossibilidade. Concurso formal corretamente reconhecido. Precedentes. Crime de organização criminosa (artigo 2º, caput, da Lei nº 12.850/2013). Prova insuficiente. Degravações de interceptações telefônicas e prova testemunhal que não comprovam a ligação entre os acusados. Inexistência de demonstração da estabilidade e permanência do grupo. 
Dosimetria. Penas quanto aos delitos de latrocínio inalteradas. Impossibilidade de reconhecimento de concurso material ou formal impróprio entre os delitos. Crime complexo, cujo viés patrimonial norteia a aplicação de eventual concurso de crimes. Único patrimônio visado.
Receptação. Penas-bases. Redução. Possibilidade. Reconhecimento da atenuante da confissão espontânea quanto ao réu D.. Concurso material entre os delitos. Possibilidade. Dois veículos adquiridos e mantidos em contextos distintos e pluralidade de desígnios.
Delitos da Lei de Armas. Concurso formal próprio corretamente reconhecido. Redução da fração de aumento. Possibilidade. Precedentes.
Regimes inalterados. 
Recursos dos réus M. H., D. G. e D. parcialmente providos. Recurso Ministerial parcialmente provido. Apelos dos réus M. J. e V. improvidos.",Luiz Fernando Vaggione,Ribeirão Preto,2ª Câmara de Direito Criminal,03/02/2023,03/02/2023,
1019046-35.2021.8.26.0482,"AGRAVO INTERNO. Matéria discutida na demanda se amolda ao RE nº 612.975, do STF (Tema nº 377). Agravo inadmissível. Recurso Extraordinário negado seguimento. Não aplicação da multa prevista no artigo 1.021, § 4º, do Código de Processo Civil. Recurso não provido.",Sérgio Elorza Barbosa de Moraes,Presidente Prudente,1ª Turma,03/02/2023,03/02/2023,
1034374-33.2021.8.26.0602,"Delegado de Polícia. Gratificação de Acúmulo de Titularidade. Lei Complementar Estadual 1.020/07. Hipótese de acumulação legítima de cargos e, portanto, de uma segunda remuneração. Incidência do teto constitucional sobre cada remuneração separadamente. Conformidade com o Temas 377 e 384 do E. STF. Precedentes do E. TJSP. Sentença mantida por seus próprios fundamentos. Pedido recursal
											 	




Delegado de Polícia. Gratificação de Acúmulo de Titularidade. Lei Complementar Estadual 1.020/07. Hipótese de acumulação legítima de cargos e, portanto, de uma segunda remuneração. Incidência do teto constitucional sobre cada remuneração separadamente. Conformidade com o Temas 377 e 384 do E. STF. Precedentes do E. TJSP. Sentença mantida por seus próprios fundamentos. Pedido recursal improvido.",Paula Velloso Rodrigues Ferreri,Sorocaba,2º Turma da Fazenda Pública,03/02/2023,03/02/2023,
3000027-97.2022.8.26.9042,"AGRAVO DE INSTRUMENTO. DELEGADO DE POLÍCIA. TUTELA DE URGÊNCIA DEFERIDA. NÃO INTEGRALIZAÇÃO DA GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT) NA BASE DE CÁLCULO DO TETO REMUNERATÓRIO. A GAT, INSTITUÍDA PELA LCE Nº 1.020/2007, TEM FINALIDADE COMPENSATÓRIA EM RAZÃO DO ACÚMULO DE OUTRA TITULARIDADE E DO ACRÉSCIMO DE SERVIÇO, NÃO INCORPORADA AOS VENCIMENTOS, NÃO INCIDINDO
											 	




AGRAVO DE INSTRUMENTO. DELEGADO DE POLÍCIA. TUTELA DE URGÊNCIA DEFERIDA. NÃO INTEGRALIZAÇÃO DA GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT) NA BASE DE CÁLCULO DO TETO REMUNERATÓRIO. A GAT, INSTITUÍDA PELA LCE Nº 1.020/2007, TEM FINALIDADE COMPENSATÓRIA EM RAZÃO DO ACÚMULO DE OUTRA TITULARIDADE E DO ACRÉSCIMO DE SERVIÇO, NÃO INCORPORADA AOS VENCIMENTOS, NÃO INCIDINDO SOBRE ELA VANTAGENS DE QUALQUER NATUREZA, NEM MESMO OS DESCONTOS RELATIVOS À ASSISTÊNCIA MÉDICA E CONTRIBUIÇÃO PREVIDENCIÁRIA. DECISÃO MANTIDA. RECURSO DESPROVIDO.",Octavio Santos Antunes,Lins,Turma Cível e Criminal,02/02/2023,02/02/2023,
1025050-73.2021.8.26.0196,"Servidor Público Estadual  - Delegado de Polícia - Gratificação de Acúmulo de Titularidade (GAT) –  Teto remuneratório - Sentença de parcial procedência –  TEMAS 377 E 384 STF -  Cumulação de cargos autorizada pela Constituição -  Teto constitucional que deve incidir individualmente sobre cada remuneração - Diferenças devidas - Sentença mantida por seus próprios
											 	




Servidor Público Estadual  - Delegado de Polícia - Gratificação de Acúmulo de Titularidade (GAT) –  Teto remuneratório - Sentença de parcial procedência –  TEMAS 377 E 384 STF -  Cumulação de cargos autorizada pela Constituição -  Teto constitucional que deve incidir individualmente sobre cada remuneração - Diferenças devidas - Sentença mantida por seus próprios fundamentos - Não provimento do recurso.",Varner Hugo Albernaz,Franca,2ª Turma Recursal Cível,31/01/2023,01/02/2023,
1013254-85.2021.8.26.0196,"Recurso inominado. Delegado de Polícia. Gratificação por Acúmulo de Titularidade –  GAT. Não incidência do teto constitucional. Verba de natureza indenizatória. Ainda que assim não fosse, o C. Supremo Tribunal Federal já pacificou entendimento de que, nos casos de acumulação legítima de cargos, as remunerações devem ser isoladamente consideradas para fim de submissão ao
											 	





Recurso inominado. Delegado de Polícia. Gratificação por Acúmulo de Titularidade –  GAT. Não incidência do teto constitucional. Verba de natureza indenizatória. Ainda que assim não fosse, o C. Supremo Tribunal Federal já pacificou entendimento de que, nos casos de acumulação legítima de cargos, as remunerações devem ser isoladamente consideradas para fim de submissão ao teto constitucional (Temas 377 e 384). Precedentes. Recurso desprovido.",Paulo Sérgio Jorge Filho,Franca,2ª Turma Recursal Cível,31/01/2023,01/02/2023,
1012830-02.2022.8.26.0554,"AGRAVO INTERNO CONTRA DESPACHO DENEGATÓRIO DE RECURSO EXTRAORDINÁRIO. Gratificação por Acúmulo de Titularidade- GAT. Teto redutor previsto na Emenda Constitucional nº 41/03. Possibilidade de se exceder o teto constitucional na hipótese de cumulação de cargos, empregos ou funções públicas. Inteligência do artigo 37, inciso XI, da Constituição Federal, da Lei Estadual nº
											 	




AGRAVO INTERNO CONTRA DESPACHO DENEGATÓRIO DE RECURSO EXTRAORDINÁRIO. Gratificação por Acúmulo de Titularidade- GAT. Teto redutor previsto na Emenda Constitucional nº 41/03. Possibilidade de se exceder o teto constitucional na hipótese de cumulação de cargos, empregos ou funções públicas. Inteligência do artigo 37, inciso XI, da Constituição Federal, da Lei Estadual nº 1.020/2007 e dos Temas nºs 377 e 384 do Supremo Tribunal Federal. Decisão mantida. Recurso a que se nega provimento.",Mariana Silva Rodrigues Dias Toyama Steiner,Santo André,1ª Turma Recursal - Fazenda Pública,01/02/2023,01/02/2023,
0100038-06.2022.8.26.9037,"AGRAVO DE INSTRUMENTO. TUTELA DE URGÊNCIA CONCEDIDA EM FACE DA FAZENDA PÚBLICA DO ESTADO DE SÃO PAULO, PARA QUE SE ABSTENHA DE APLICAR O REDUTOR SALARIAL PREVISTO NA EMENDA CONSTITUCIONAL Nº 41/2003 SOBRE A GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). NATUREZA INDENIZATÓRIA DA VERBA. NÃO SUBMISSÃO AO TETO CONSTITUCIONAL. PRECEDENTES. DECISÃO MANTIDA. RECURSO NÃO PROVIDO.",Marcus Frazão Frota,Dracena,Turma Recursal Cível e Criminal,31/01/2023,31/01/2023,
1000788-57.2022.8.26.0638,RECURSO INOMINADO. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). DELEGADO DE POLÍCIA. NATUREZA INDENIZATÓRIA DA VERBA. EXCLUSÃO DO TETO REMUNERATÓRIO CONSTITUCIONAL. TEMAS 377 E 384 DO STF. PRECEDENTE VINCULANTE. SENTENÇA DE PROCEDÊNCIA MANTIDA. RECURSO DESPROVIDO.,Marcus Frazão Frota,Tupi Paulista,Turma Recursal Cível e Criminal,31/01/2023,31/01/2023,
1009148-95.2022.8.26.0309,"DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. Pretensão de afastamento do redutor salarial, instituído pela Emenda Constitucional nº 41/03. Possibilidade. Cumulação legítima de cargos ou funções. Hipótese de cumulação constitucional. Redutor que deve incidir de forma isolada nas remunerações relativas ao cargo e função acumulados.
											 	




DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. Pretensão de afastamento do redutor salarial, instituído pela Emenda Constitucional nº 41/03. Possibilidade. Cumulação legítima de cargos ou funções. Hipótese de cumulação constitucional. Redutor que deve incidir de forma isolada nas remunerações relativas ao cargo e função acumulados. Trabalho útil em favor do Estado. Título autônomo de retribuição. Vedação de enriquecimento sem causa ao Poder Público. Aplicabilidade dos Temas 377 e 384 do STF. 
Devolução de valores descontados indevidamente, respeitada a prescrição quinquenal. Juros e correção monetária. Correção pelo IPCA-E a partir do vencimento de cada parcela e juros de mora desde a citação, contados pelos mesmos índices de remuneração dos depósitos em caderneta de poupança, até a entrada em vigor da Emenda Constitucional nº 113/2021, quando passará a incidir apenas a taxa SELIC.
Sentença mantida pelos próprios fundamentos (art. 46 da Lei nº 9.099/1995).",Juan Paulo Haye Biazevic,Jundiaí,Primeira Turma Civel e Criminal,31/01/2023,31/01/2023,
1001451-50.2022.8.26.0106,"DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. Pretensão de afastamento do redutor salarial, instituído pela Emenda Constitucional nº 41/03. Possibilidade. Cumulação legítima de cargos ou funções. Hipótese de cumulação constitucional. Redutor que deve incidir de forma isolada nas remunerações relativas ao cargo e função acumulados.
											 	




DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). TETO REMUNERATÓRIO. Pretensão de afastamento do redutor salarial, instituído pela Emenda Constitucional nº 41/03. Possibilidade. Cumulação legítima de cargos ou funções. Hipótese de cumulação constitucional. Redutor que deve incidir de forma isolada nas remunerações relativas ao cargo e função acumulados. Trabalho útil em favor do Estado. Título autônomo de retribuição. Vedação de enriquecimento sem causa ao Poder Público. Aplicabilidade dos Temas 377 e 384 do STF. 
Devolução de valores descontados indevidamente, respeitada a prescrição quinquenal. Juros e correção monetária. Correção pelo IPCA-E a partir do vencimento de cada parcela e juros de mora desde a citação, contados pelos mesmos índices de remuneração dos depósitos em caderneta de poupança, até a entrada em vigor da Emenda Constitucional nº 113/2021, quando passará a incidir apenas a taxa SELIC.
Sentença mantida pelos próprios fundamentos (art. 46 da Lei nº 9.099/1995).",Juan Paulo Haye Biazevic,Caieiras,Primeira Turma Civel e Criminal,31/01/2023,31/01/2023,
